Contract,tenure,MonthlyCharges,InternetService_No,InternetService_Fiber optic,OnlineSecurity,TechSupport,PaperlessBilling,SeniorCitizen,is_Autometic_payment,Churn
0,1,29.85,False,False,0,0,1,0,0,0
1,34,56.95,False,False,1,0,0,0,0,0
0,2,53.85,False,False,1,0,1,0,0,1
1,45,42.3,False,False,1,1,0,0,1,0
0,2,70.7,False,True,0,0,1,0,0,1
0,8,99.65,False,True,0,0,1,0,0,1
0,22,89.1,False,True,0,0,1,0,1,0
0,10,29.75,False,False,1,0,0,0,0,0
0,28,104.8,False,True,0,1,1,0,0,1
1,62,56.15,False,False,1,0,0,0,1,0
0,13,49.95,False,False,1,0,1,0,0,0
2,16,18.95,True,False,0,0,0,0,1,0
1,58,100.35,False,True,0,0,0,0,1,0
0,49,103.7,False,True,0,0,1,0,1,1
0,25,105.5,False,True,1,1,1,0,0,0
2,69,113.25,False,True,1,1,0,0,1,0
1,52,20.65,True,False,0,0,0,0,0,0
2,71,106.7,False,True,1,0,0,0,1,0
0,10,55.2,False,False,0,1,0,0,1,1
0,21,90.05,False,True,0,0,1,0,0,0
0,1,39.65,False,False,0,0,1,1,0,1
1,12,19.8,True,False,0,0,0,0,1,0
0,1,20.15,True,False,0,0,0,0,0,1
2,58,59.9,False,False,0,1,1,0,1,0
0,49,59.6,False,False,1,1,0,0,1,0
0,30,55.3,False,False,1,0,1,0,1,0
0,47,99.35,False,True,0,0,1,0,0,1
0,1,30.2,False,False,0,0,0,0,0,1
2,72,90.25,False,False,1,1,1,0,1,0
0,17,64.7,False,False,0,0,1,0,0,1
2,71,96.35,False,True,1,1,1,1,1,0
0,2,95.5,False,True,0,0,1,1,1,0
1,27,66.15,False,False,1,1,0,0,0,0
0,1,20.2,True,False,0,0,0,0,1,0
0,1,45.25,False,False,0,0,0,1,1,0
2,72,99.9,False,True,1,1,0,0,1,0
0,5,69.7,False,True,0,0,1,0,0,1
0,46,74.8,False,True,0,0,1,0,1,0
0,34,106.35,False,True,0,0,1,0,0,1
0,11,97.85,False,True,0,0,1,0,1,1
1,10,49.55,False,False,0,0,0,0,0,0
2,70,69.2,False,False,1,0,1,0,1,0
1,17,20.75,True,False,0,0,0,0,0,0
2,63,79.85,False,False,1,1,1,0,1,0
0,13,76.2,False,False,1,1,1,0,0,0
0,49,84.5,False,True,0,0,1,0,0,0
0,2,49.25,False,False,0,0,0,0,0,0
0,2,80.65,False,True,0,0,1,0,0,1
2,52,79.75,False,False,1,1,1,0,1,0
2,69,64.15,False,False,1,1,1,0,1,0
0,43,90.25,False,True,0,0,1,1,0,0
0,15,99.1,False,True,1,0,1,0,1,1
0,25,69.5,False,False,1,1,1,1,1,0
0,8,80.65,False,True,0,0,1,1,1,1
1,60,74.85,False,False,1,1,1,1,1,0
0,18,95.45,False,True,0,0,1,1,0,1
1,63,99.65,False,True,1,0,1,0,1,0
1,66,108.45,False,True,0,1,1,1,0,0
2,34,24.95,True,False,0,0,0,0,1,0
2,72,107.5,False,True,0,1,1,0,1,0
0,47,100.5,False,True,0,0,1,0,0,0
0,60,89.9,False,True,0,0,1,0,1,0
2,72,42.1,False,False,1,0,0,0,1,0
1,18,54.4,False,False,0,1,1,0,1,0
0,9,94.4,False,True,0,0,0,0,0,1
0,3,75.3,False,False,0,1,1,0,0,0
1,47,78.9,False,True,0,0,1,0,0,0
2,31,79.2,False,False,0,1,0,0,0,0
2,50,20.15,True,False,0,0,0,0,1,0
0,10,79.85,False,True,1,0,1,0,0,0
0,1,49.05,False,False,0,1,0,0,0,0
1,52,20.4,True,False,0,0,1,0,0,0
2,64,111.6,False,True,1,1,1,1,1,0
2,62,24.25,True,False,0,0,1,0,1,0
0,3,64.5,False,False,1,1,1,0,1,0
1,56,110.5,False,True,1,0,0,1,0,0
1,46,55.65,False,False,0,0,0,0,1,0
0,8,54.65,False,False,1,0,0,0,0,0
0,30,74.75,False,False,1,0,1,1,0,0
1,45,25.9,True,False,0,0,1,0,1,0
0,1,79.35,False,True,0,0,1,0,0,1
